"","Species","NrGropus","abu","meanGS","MinGS","maxGS"
"1","Coke Hartebeest",47,146,3.1063829787234,1,9
"2","Eland",94,700,7.4468085106383,1,98
"3","Giraffe",170,494,2.90588235294118,1,12
"4","Grant Gazelle",322,1029,3.19565217391304,1,18
"5","Impala",767,5618,7.32464146023468,1,100
"6","Thomson Gazelle",1810,13922,7.69171270718232,1,162
"7","Topi",463,1313,2.83585313174946,1,35
"8","Warthog",447,1328,2.97091722595078,1,19
"9","Wildebeest",1928,23557,12.2183609958506,1,250
"10","Zebra",782,7191,9.19565217391304,1,193
